153.782503102093		8	10	9	6	3	7	4	0	5	1	2	11	3	4	1	2	50	27	1	29	5	250
165.710911663548		6	9	11	5	3	4	0	1	7	8	10	2	3	4	1	2	50	27	1	29	5	250
186.81002593452		4	2	1	0	8	3	7	5	6	9	10	11	3	4	1	2	50	27	1	29	5	250
164.962842989592		11	7	10	9	6	1	8	4	5	0	3	2	3	4	1	2	50	27	1	29	5	250
143.584854723723		8	5	2	1	0	7	10	6	9	11	4	3	2	3	1	4	50	35	24	34	19	250
139.139551097949		8	9	10	7	4	5	1	0	3	6	11	2	1	2	3	4	100	8	5	86	40	150
165.307444080684		7	8	10	11	6	9	3	0	2	4	5	1	1	2	3	4	100	8	5	86	40	150
183.215959625485		10	5	11	4	7	1	3	6	9	8	2	0	1	2	3	4	100	8	5	86	40	150
161.421823327095		7	8	10	9	4	0	3	6	11	5	2	1	1	2	3	4	100	8	5	86	40	150
147.125874386219		2	5	1	0	3	6	9	10	11	7	4	8	3	4	1	2	100	34	7	47	13	30
