302.00104725336		6	7	3	1	8	4	5	2	9	0	0	1	2	10	6	3	1	1	4
345.561374425045		7	0	4	3	1	2	8	5	6	9	1	2	0	50	6	3	44	24	250
339.559141861836		8	2	6	0	7	1	5	3	9	4	1	2	0	50	6	3	44	24	250
348.767238126655		4	8	5	3	2	7	6	1	9	0	1	2	0	50	6	3	44	24	250
339.791362724833		4	1	9	7	0	2	5	3	8	6	1	2	0	50	6	3	44	24	250
356.763606347513		4	9	7	5	1	3	0	2	8	6	1	2	0	50	6	3	44	24	250
342.799578048072		1	4	2	6	7	5	8	3	9	0	1	2	0	50	5	4	4	1	250
352.557241799892		5	3	4	0	1	6	8	2	9	7	1	2	0	50	5	4	4	1	250
305.219357859734		6	8	1	2	5	0	4	7	9	3	0	1	2	50	15	5	28	23	150
313.782503102093		6	1	5	8	7	4	3	2	9	0	0	1	2	50	15	5	28	23	150
320.885976965315		3	7	1	4	2	9	6	5	8	0	0	1	2	50	15	5	28	23	150
314.51530680061		3	4	6	5	7	1	2	8	9	0	0	1	2	50	15	5	28	23	150
298.173856281457		7	1	4	0	3	8	2	5	9	6	0	1	2	100	59	53	15	3	150
291.224174948725		3	6	4	1	7	8	5	2	9	0	0	1	2	100	78	46	9	1	30
